date,wiki_id,popular,test_group,n_pages,view_total,view_median
2018-11-10,en.wikipedia,yes,control,44,1669089,27499.5
2018-11-10,en.wikipedia,yes,treatment,56,3257898,30368
2018-11-10,es.wikipedia,no,control,723248,8366831,4
2018-11-10,es.wikipedia,no,treatment,725232,8828206,4
2018-11-10,es.wikipedia,yes,control,49,605678,5903
2018-11-10,es.wikipedia,yes,treatment,51,425755,5834
2018-11-10,pl.wikipedia,no,control,652948,1792207,2
2018-11-10,pl.wikipedia,no,treatment,661537,2148192,3
2018-11-10,pl.wikipedia,yes,control,43,153509,2576
2018-11-10,pl.wikipedia,yes,treatment,57,306271,2846
2018-11-11,bg.wikipedia,no,control,124188,230576,2
2018-11-11,bg.wikipedia,no,treatment,124178,220684,2
2018-11-11,bg.wikipedia,yes,control,42,22818,314
2018-11-11,bg.wikipedia,yes,treatment,58,25332,300.5
2018-11-11,en.wikipedia,no,control,2895914,49612232,4
2018-11-11,en.wikipedia,no,treatment,2886542,49513365,4
2018-11-11,en.wikipedia,yes,control,45,2236346,33991
2018-11-11,en.wikipedia,yes,treatment,55,2990062,35579
2018-11-11,es.wikipedia,no,control,723246,10031614,4
2018-11-11,es.wikipedia,no,treatment,725234,10600854,4
2018-11-11,es.wikipedia,yes,control,51,746530,8840
2018-11-11,es.wikipedia,yes,treatment,49,696145,9490
2018-11-11,pl.wikipedia,no,control,652953,2215954,3
2018-11-11,pl.wikipedia,no,treatment,661532,2669298,3
2018-11-11,pl.wikipedia,yes,control,38,274232,4926.5
2018-11-11,pl.wikipedia,yes,treatment,62,800159,5605
2018-11-12,bg.wikipedia,no,control,124177,238371,3
2018-11-12,bg.wikipedia,no,treatment,124189,236921,2
2018-11-12,bg.wikipedia,yes,control,53,41605,411
2018-11-12,bg.wikipedia,yes,treatment,47,36083,343
2018-11-12,en.wikipedia,no,control,2895916,52127747,4
2018-11-12,en.wikipedia,no,treatment,2886540,52233124,4
2018-11-12,en.wikipedia,yes,control,43,3716824,30093
2018-11-12,en.wikipedia,yes,treatment,57,2486466,30332
2018-11-12,es.wikipedia,no,control,723249,11814248,5
2018-11-12,es.wikipedia,no,treatment,725231,12527920,5
2018-11-12,es.wikipedia,yes,control,48,1422859,8627.5
2018-11-12,es.wikipedia,yes,treatment,52,570658,8355.5
2018-11-12,pl.wikipedia,no,control,652951,2385103,3
2018-11-12,pl.wikipedia,no,treatment,661534,2926714,3
2018-11-12,pl.wikipedia,yes,control,40,207176,3025
2018-11-12,pl.wikipedia,yes,treatment,60,435839,3241.5
2018-11-13,bg.wikipedia,no,control,124179,244959,3
2018-11-13,bg.wikipedia,no,treatment,124187,240503,2
2018-11-13,bg.wikipedia,yes,control,51,33437,439
2018-11-13,bg.wikipedia,yes,treatment,49,32629,378
2018-11-13,en.wikipedia,no,control,2895914,51443850,4
2018-11-13,en.wikipedia,no,treatment,2886542,51293613,4
2018-11-13,en.wikipedia,yes,control,45,3374509,31550
2018-11-13,en.wikipedia,yes,treatment,55,2696821,31461
2018-11-13,es.wikipedia,no,control,723251,12025178,5
2018-11-13,es.wikipedia,no,treatment,725229,12738406,5
2018-11-13,es.wikipedia,yes,control,46,946979,7991.5
2018-11-13,es.wikipedia,yes,treatment,54,518985,7699
2018-11-13,pl.wikipedia,no,control,652959,2294800,3
2018-11-13,pl.wikipedia,no,treatment,661526,2807909,3
2018-11-13,pl.wikipedia,yes,control,32,131147,2719.5
2018-11-13,pl.wikipedia,yes,treatment,68,401257,2582
2018-11-14,bg.wikipedia,no,control,124180,245825,3
2018-11-14,bg.wikipedia,no,treatment,124186,242632,2
2018-11-14,bg.wikipedia,yes,control,50,29318,435.5
2018-11-14,bg.wikipedia,yes,treatment,50,26386,417.5
2018-11-14,en.wikipedia,no,control,2895908,50162851,4
2018-11-14,en.wikipedia,no,treatment,2886548,50200946,4
2018-11-14,en.wikipedia,yes,control,51,2120003,24686
2018-11-14,en.wikipedia,yes,treatment,49,1849055,25557
2018-11-14,es.wikipedia,no,control,723256,11688967,5
2018-11-14,es.wikipedia,no,treatment,725224,12341325,5
2018-11-14,es.wikipedia,yes,control,41,560341,7495
2018-11-14,es.wikipedia,yes,treatment,59,585512,8052
2018-11-14,pl.wikipedia,no,control,652956,2261971,3
2018-11-14,pl.wikipedia,no,treatment,661529,2792288,3
2018-11-14,pl.wikipedia,yes,control,35,115151,2248
2018-11-14,pl.wikipedia,yes,treatment,65,274484,2232
2018-11-15,bg.wikipedia,no,control,124178,240655,2
2018-11-15,bg.wikipedia,no,treatment,124188,237437,2
2018-11-15,bg.wikipedia,yes,control,52,34593,384.5
2018-11-15,bg.wikipedia,yes,treatment,48,20308,330
2018-11-15,en.wikipedia,no,control,2895916,49616075,4
2018-11-15,en.wikipedia,no,treatment,2886540,49453236,4
2018-11-15,en.wikipedia,yes,control,43,1808593,25962
2018-11-15,en.wikipedia,yes,treatment,57,2317025,31008
2018-11-15,es.wikipedia,no,control,723253,11176088,4
2018-11-15,es.wikipedia,no,treatment,725227,11803788,5
2018-11-15,es.wikipedia,yes,control,44,489649,7611
2018-11-15,es.wikipedia,yes,treatment,56,526017,7375
2018-11-15,pl.wikipedia,no,control,652954,2183757,3
2018-11-15,pl.wikipedia,no,treatment,661531,2682347,3
2018-11-15,pl.wikipedia,yes,control,37,118352,2114
